PPFL_GEL

THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED

LIST OF INSURED POLICIES

Update as of  4-May-26

Policies which are eligible for Policy Owners' Protection Scheme protection under the Deposit Insurance and Policies Owners' Protection Schemes Act 2011.

(Refer to 2nd schedule of the Act for the types of policies under each category)

2  14 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  14 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  14 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  14 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  14 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  14 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  15 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  15 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  15 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS MAXEDU CHOICE

2  15 YEARS MAXEDU GOAL

2  15 YEARS MAXTERM

2  15 YEARS MAXTERM - CONVERTIBLE

2  15 YEARS MAXTERM - LEVEL
2  15 YEARS MAXTERM (CI)

2  15 YEARS MAXTERM ENHANCED

2  15 YEARS MAXTERM ENHANCED(CI)

2  15 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  15 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  15 YEARS PREMIER ANTICIPATED ENDOWMENT SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  15 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  15 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  15 YEARS SUPER ANTICIPATED ENDOWMENT SPECIAL PLUS WITH COMPOUND REVERSIONARY BONUS

2  15 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  16 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  16 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  16 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

